math_score,reading_score,writing_score,placement_score,club_join_date
78,89,76,90,2020
60,85,76,96,2021
79,92,77,95,2018
71,86,80,85,2019
74,91,70,99,2019
76,81,63,84,2021
61,91,75,78,2021
77,,64,86,2020
,83,140,75,2020
63,85,10,91,2019
61,81,75,180,2019
,89,,95,2019
75,80,62,96,2020
76,95,80,76,2021
,80,66,90,2020
66,91,72,77,2019
68,45,71,95,2018
75,92,76,93,2021
68,75,67,82,2019
80,94,63,92,2019
71,82,76,84,2019
63,77,67,79,2021
77,94,74,86,2021
77,78,12,99,2018
70,80,72,87,2018
79,77,70,88,2020
74,95,71,76,2018
71,76,63,97,2019
79,75,67,83,2018
